author,comment,commentsCount,pageUrl,replyCount,title,type,videoID,voteCount,source_file,source_text_col,comment_text,comment_text_norm,mode,word_count,has_gender_hint,has_stance_hint,has_experience_hint,has_learning_hint,has_change_hint,has_reinforcement_hint,has_action_hint,has_info_hint,has_identity_hint,keep,keep_reason
@jayniemoses8096,This is deep!!,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,This is deep!!,this is deep!!,v1,3,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@charlottesanaipei893,Thank you so much for sharing so proud of you,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,Thank you so much for sharing so proud of you,thank you so much for sharing so proud of you,v1,10,False,False,True,False,False,False,False,False,False,True,substantive_v1
@maryann9679,Very deep. You are brave and thank you for touching lives.,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,1,Youtube- Undoing my Father's damage.xlsx,comment,Very deep. You are brave and thank you for touching lives.,very deep. you are brave and thank you for touching lives.,v1,11,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@This_is_CKM,Single mothers are much worse than any Dad I can think of...,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),reply,,0,Youtube- Undoing my Father's damage.xlsx,comment,Single mothers are much worse than any Dad I can think of...,single mothers are much worse than any dad i can think of...,v1,12,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@lilianlutomiah7332,Heal,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),reply,,0,Youtube- Undoing my Father's damage.xlsx,comment,Heal,heal,v1,1,False,False,False,False,False,False,False,False,False,False,too_few_words_v1
@afsachesang2238,Touching how can one get to you a friend in that situation,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,Touching how can one get to you a friend in that situation,touching how can one get to you a friend in that situation,v1,12,False,False,True,False,False,False,False,False,False,True,substantive_v1
@lucys702,"Thank you for sharing. ""Your trauma does not define you"" thank you because that reminded me that my past does not define who I am either.",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,3,Youtube- Undoing my Father's damage.xlsx,comment,"Thank you for sharing. ""Your trauma does not define you"" thank you because that reminded me that my past does not define who I am either.","thank you for sharing. ""your trauma does not define you"" thank you because that reminded me that my past does not define who i am either.",v1,26,False,False,True,False,False,False,False,True,False,False,emoji_or_punct_only
@joycembugua5929,Kudos to those friends who came through for you. They are amazing and blessed,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,3,Youtube- Undoing my Father's damage.xlsx,comment,Kudos to those friends who came through for you. They are amazing and blessed,kudos to those friends who came through for you. they are amazing and blessed,v1,14,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@omilnetwork,Proud of you.   Thank you.,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,Proud of you.   Thank you.,proud of you. thank you.,v1,5,False,False,False,False,False,False,False,False,False,False,emoji_or_punct_only
@victoriaehrich7131,I bet he never came back to apologize to the poor 10 year old boy. And that's what makes things so hard on the little boy at the time.,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,2,Youtube- Undoing my Father's damage.xlsx,comment,I bet he never came back to apologize to the poor 10 year old boy. And that's what makes things so hard on the little boy at the time.,i bet he never came back to apologize to the poor 10 year old boy. and that's what makes things so hard on the little boy at the time.,v1,30,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@victoriaehrich7131,Wow!!! This is too touchy.,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,Wow!!! This is too touchy.,wow!!! this is too touchy.,v1,5,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@nafulawafula-gitonga3502,Thank you for your openness and vulnerability Eric. This takes alot of courage and growth.,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,2,Youtube- Undoing my Father's damage.xlsx,comment,Thank you for your openness and vulnerability Eric. This takes alot of courage and growth.,thank you for your openness and vulnerability eric. this takes alot of courage and growth.,v1,15,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@washingtonodera1523,"Your Dad was a cruel abuser , he must have carried that from his past , don’t hold so much forgive him . Thank him for giving you life , forgive him. Our parents went through so much abuse in form of discipline!!!!",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,"Your Dad was a cruel abuser , he must have carried that from his past , don’t hold so much forgive him . Thank him for giving you life , forgive him. Our parents went through so much abuse in form of discipline!!!!","your dad was a cruel abuser , he must have carried that from his past , don't hold so much forgive him . thank him for giving you life , forgive him. our parents went through so much abuse in form of discipline!!!!",v1,40,False,False,True,False,False,False,True,False,False,False,emoji_or_punct_only
@monicakay8973,"I've listened/watched your story before, I think on Legally Clueless (Not sure). It's as educative today as the first time I listened. As a mum it teaches me:

1. I need to overcome my own traumas.
2. I need to practice intentional parenting especially listening to my child.

May you keep healing and recovering emotionally.",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,1,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,14,Youtube- Undoing my Father's damage.xlsx,comment,"I've listened/watched your story before, I think on Legally Clueless (Not sure). It's as educative today as the first time I listened. As a mum it teaches me:

1. I need to overcome my own traumas.
2. I need to practice intentional parenting especially listening to my child.

May you keep healing and recovering emotionally.","i've listened/watched your story before, i think on legally clueless (not sure). it's as educative today as the first time i listened. as a mum it teaches me: 1. i need to overcome my own traumas. 2. i need to practice intentional parenting especially listening to my child. may you keep healing and recovering emotionally.",v1,58,False,False,True,False,False,False,True,False,False,False,emoji_or_punct_only
@TinnahAchy,This has made me cry 😢 haki. What an animal kind of dad....,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,This has made me cry 😢 haki. What an animal kind of dad....,this has made me cry 😢 haki. what an animal kind of dad....,v1,12,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@Js82able,Much hugs on your healing journey,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,Much hugs on your healing journey,much hugs on your healing journey,v1,6,False,False,True,False,False,False,False,False,False,True,substantive_v1
@nabululeuria1891,"Rix, your boldness to actually heal from all this 🥺❤",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,2,Youtube- Undoing my Father's damage.xlsx,comment,"Rix, your boldness to actually heal from all this 🥺❤","rix, your boldness to actually heal from all this 🥺❤",v1,9,False,False,True,False,False,False,False,True,False,False,emoji_or_punct_only
@kelgk2086,… something had broken…that took me.,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,1,Youtube- Undoing my Father's damage.xlsx,comment,… something had broken…that took me.,… something had broken…that took me.,v1,6,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@Honest_Man,Why is it that it's Mostly women relate with this,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,3,Youtube- Undoing my Father's damage.xlsx,comment,Why is it that it's Mostly women relate with this,why is it that it's mostly women relate with this,v1,11,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@ireneabuya7231,"Most of us our childhood was crazy but yours was crazier bro,i pray that you heal fully ,so sorry for what you went thru",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,"Most of us our childhood was crazy but yours was crazier bro,i pray that you heal fully ,so sorry for what you went thru","most of us our childhood was crazy but yours was crazier bro,i pray that you heal fully ,so sorry for what you went thru",v1,25,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@FavouredBCOD12,Great life story to learn from....Thanks for enlightening many.....Lots of love..Hopefully we'll meet up!,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,1,Youtube- Undoing my Father's damage.xlsx,comment,Great life story to learn from....Thanks for enlightening many.....Lots of love..Hopefully we'll meet up!,great life story to learn from....thanks for enlightening many.....lots of love..hopefully we'll meet up!,v1,18,True,False,True,True,False,False,False,False,False,False,emoji_or_punct_only
